_id,name,timestamp,free_bikes,empty_slots
675c5014239cd50d29f3ae4a,Casa del Agua,2024-12-13 15:17:40.793,5,11
675c5014239cd50d29f3ae4b,Plaza De Pontevedra,2024-12-13 15:17:40.793,4,24
675c5014239cd50d29f3ae4c,Estación Autobuses,2024-12-13 15:17:40.793,8,7
675c5014239cd50d29f3ae4d,Orillamar,2024-12-13 15:17:40.793,0,15
675c5014239cd50d29f3ae4e,Aquarium,2024-12-13 15:17:40.793,7,7
675c5014239cd50d29f3ae4f,Parque de Oza,2024-12-13 15:17:40.793,5,10
675c5014239cd50d29f3ae50,Aparcamiento Matogrande,2024-12-13 15:17:40.793,8,7
675c5014239cd50d29f3ae51,Agrela,2024-12-13 15:17:40.793,12,11
675c5014239cd50d29f3ae52,Paseo de Los Puentes,2024-12-13 15:17:40.793,2,15
675c5014239cd50d29f3ae53,Ágora,2024-12-13 15:17:40.793,8,15
675c5014239cd50d29f3ae54,Campo de La Leña (Plaza De España),2024-12-13 15:17:40.793,0,14
675c5014239cd50d29f3ae55,Cuatro Caminos,2024-12-13 15:17:40.793,7,15
675c5014239cd50d29f3ae56,Puerto - Palexco,2024-12-13 15:17:40.793,8,7
675c5014239cd50d29f3ae57,Expocoruna,2024-12-13 15:17:40.793,9,10
675c5014239cd50d29f3ae58,Plaza Recife,2024-12-13 15:17:40.793,10,4
675c5014239cd50d29f3ae59,Plaza de San Rosendo,2024-12-13 15:17:40.793,0,15
675c5014239cd50d29f3ae5a,Puerta Real,2024-12-13 15:17:40.793,6,17
675c5014239cd50d29f3ae5b,Plaza de Conchiñas,2024-12-13 15:17:40.793,0,15
675c5014239cd50d29f3ae5c,Estación Tren,2024-12-13 15:17:40.793,0,15
675c5014239cd50d29f3ae5d,Adormideras,2024-12-13 15:17:40.793,6,13
675c5014239cd50d29f3ae5e,Marineda,2024-12-13 15:17:40.793,14,9
675c5014239cd50d29f3ae5f,Parque de Santa Margarita,2024-12-13 15:17:40.793,0,11
675c5014239cd50d29f3ae60,Ciudad Escolar,2024-12-13 15:17:40.793,18,1
675c5014239cd50d29f3ae61,Parque de Eirís,2024-12-13 15:17:40.793,7,12
675c5014239cd50d29f3ae62,Novo Mesoiro,2024-12-13 15:17:40.793,1,22
675c5014239cd50d29f3ae63,Chuac,2024-12-13 15:17:40.793,5,14
675c5014239cd50d29f3ae64,Casa de Sol,2024-12-13 15:17:40.793,3,13
675c5014239cd50d29f3ae65,Centro deportivo Elviña,2024-12-13 15:17:40.793,0,19
675c5014239cd50d29f3ae66,Maestranza,2024-12-13 15:17:40.793,5,14
675c5014239cd50d29f3ae67,Mirador de los Castros,2024-12-13 15:17:40.793,10,9
675c5014239cd50d29f3ae68,Plaza de Vigo,2024-12-13 15:17:40.793,10,6
675c5014239cd50d29f3ae69,Obelisco,2024-12-13 15:17:40.793,1,20
675c5014239cd50d29f3ae6a,Millenium,2024-12-13 15:17:40.793,6,8
675c5014239cd50d29f3ae6b,Praza de Ourense,2024-12-13 15:17:40.793,2,13
675c5014239cd50d29f3ae6c,Parque del Agra,2024-12-13 15:17:40.793,3,12
675c5014239cd50d29f3ae6d,Rosales-Labañou,2024-12-13 15:17:40.793,1,13
675c5014239cd50d29f3ae6e,Centro Cívico Monelos,2024-12-13 15:17:40.793,1,14
675c503631063ed89b47ac01,Avenida de Arteixo,2024-12-13 15:18:14.015,0,15
675c503631063ed89b47ac02,Mercado de Monte Alto,2024-12-13 15:18:14.015,2,13
675c503631063ed89b47ac03,Los Rosales,2024-12-13 15:18:14.015,0,25
675c503631063ed89b47ac04,Plaza de Portugal,2024-12-13 15:18:14.015,2,17
675c503631063ed89b47ac05,Ventorrillo,2024-12-13 15:18:14.015,2,15
675c503631063ed89b47ac06,Cd Castrillón,2024-12-13 15:18:14.015,5,10
675c503631063ed89b47ac07, Pablo Picasso,2024-12-13 15:18:14.015,7,12
675c503631063ed89b47ac08,Barrio de las Flores,2024-12-13 15:18:14.015,9,14
675c503631063ed89b47ac09,Torre de Hércules,2024-12-13 15:18:14.015,9,6
675c503631063ed89b47ac0a,Campo de Marte,2024-12-13 15:18:14.015,0,15
675c503631063ed89b47ac0b,Hospital Abente y Lago,2024-12-13 15:18:14.015,1,14
675c503631063ed89b47ac0c,Plaza de Tabacos,2024-12-13 15:18:14.015,15,4
675c503631063ed89b47ac0d,Casa del Agua,2024-12-13 15:18:14.015,7,9
675c503631063ed89b47ac0e,Plaza De Pontevedra,2024-12-13 15:18:14.015,4,23
